  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 63-K-127/24                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.154     Re =     1.734 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.0398   0.01264   0.00776  -0.1047   0.7200   0.0128
  -3.500   0.0951   0.01096   0.00593  -0.1044   0.7189   0.0139
  -3.000   0.1462   0.00838   0.00301  -0.1025   0.7175   0.0071
  -2.500   0.2029   0.00777   0.00225  -0.1025   0.7156   0.0096
  -2.000   0.2602   0.00742   0.00194  -0.1030   0.7128   0.0277
  -1.500   0.3162   0.00686   0.00168  -0.1034   0.7099   0.1311
  -0.500   0.4204   0.00490   0.00132  -0.1033   0.7028   0.6961
   0.000   0.4760   0.00476   0.00135  -0.1032   0.6982   0.7727
   0.500   0.5335   0.00482   0.00140  -0.1037   0.6912   0.7889
   1.000   0.5916   0.00481   0.00142  -0.1043   0.6891   0.8021
   1.500   0.6498   0.00475   0.00139  -0.1049   0.6833   0.8104
   2.000   0.7072   0.00471   0.00134  -0.1053   0.6726   0.8180
   2.500   0.7636   0.00480   0.00139  -0.1055   0.6605   0.8276
   3.000   0.8208   0.00482   0.00147  -0.1060   0.6472   0.8346
   3.500   0.8743   0.00499   0.00154  -0.1056   0.6140   0.8409
   4.000   0.9254   0.00536   0.00176  -0.1049   0.5731   0.8470
   4.500   0.9762   0.00578   0.00209  -0.1041   0.5330   0.8518
   5.000   1.0216   0.00647   0.00253  -0.1024   0.4675   0.8576
   5.500   1.0420   0.00845   0.00367  -0.0964   0.2887   0.8655
   6.000   1.0590   0.01053   0.00499  -0.0900   0.1346   0.8724
   6.500   1.0926   0.01160   0.00581  -0.0865   0.0822   0.8780
   7.000   1.1193   0.01261   0.00668  -0.0817   0.0452   0.8872
   7.500   1.1283   0.01440   0.00821  -0.0744   0.0043   0.8964
   8.000   1.1658   0.01505   0.00904  -0.0720   0.0103   0.9075
   8.500   1.1899   0.01657   0.01061  -0.0684   0.0040   0.9257
   9.500   1.2540   0.02062   0.01502  -0.0658   0.0018   1.0000
  10.000   1.2746   0.02292   0.01749  -0.0627   0.0019   1.0000
  10.500   1.2805   0.02627   0.02111  -0.0576   0.0020   1.0000
  11.000   1.2839   0.02997   0.02506  -0.0528   0.0023   1.0000
  11.500   1.2827   0.03840   0.03435  -0.0419   0.0063   1.0000
